名称,类型,主播,热度
檀檀今天也很棒的直播间,和平精英,檀檀今天也很棒,4
裴柟的直播间,DOTA2,裴柟,4
练车搞全局,军事游戏,3344G个,4
新人求教育8322778,梦幻西游,大伟786083,4
一个默默的小主播,lol云顶之弈,上神等你来,4
新人报道，多多关照8323005,王者荣耀,专属小默,4
黄鸡等风来~,英雄联盟,黄鸡等风来,4
曾经歌林多千叶的直播间,热门网游,曾经歌林多千叶,4
招财的直播间8323148,阴阳师,1341199646,4
a威七的直播间,CF手游,a威七,4
现实再伤别忘记微笑的直播间,王者荣耀,现实再伤别忘记微笑,4
CSGO白给局,CS:GO,米咔颓,4
南瓜大帅1164的直播间,逃离塔科夫,南瓜大帅1164,4
吴老湿接鱼丸的直播间,lol云顶之弈,吴老湿接鱼丸,4
来一大碗熊的直播间,绝地求生,来一大碗熊,4
旧时沧桑的直播间,王者荣耀,旧时沧桑,4
浮沉晓的直播间,魔兽世界,浮沉晓,4
下丶熙的直播间,魔兽怀旧服,下丶熙,4
阿姨今晚回家嘛的直播间,火影忍者,阿姨今晚回家嘛,4
SAY耶的直播间,英雄联盟,SAY耶,4
草丛灬伏地魔的直播间,王者荣耀,草丛灬伏地魔,4
专业减肥20年吧扎嘿的直播间,和平精英,专业减肥20年吧扎嘿,4
疾风66666666666的直播间,魔兽怀旧服,疾风66666666666,4
黄金娱乐局8323658,英雄联盟,jinyue00,4
小七散步的直播间,魔兽怀旧服,小七散步,4
ankar0823的直播间,王者荣耀,ankar0823,4
街篮主玩SG和PG学意识的请进直播间,街篮,土土豪做朋友,4
新人主播，求关注8323711,和平精英,沈妍是个铁憨憨,4
百星兰陵王单排靠兰陵王上百星其他不会,王者荣耀,Pooryang,4
天龙下午2点新区干就完了,天龙八部online,1呢就莫斯科,4
晴丶歌的直播间,魔兽怀旧服,晴丶歌,4
噗啦哈哈哈的直播间,英雄联盟,噗啦哈哈哈,4
兴杰1231的直播间,王者荣耀,兴杰1231,4
科联-全军出击~智商低,全军出击,甜甜软老阿姨,3
手游第一svs狙击枪,全军出击,八岁鑫,3
clubhZt45hkg的直播间,全军出击,七七十二,3
【轮播】橘子的轮播,正能量,很生气的橘子,2
在线免费上号,QQ飞车端游,Tioum,1
一个无聊的直播间5010789,元气骑士,孤雨呀i,1
狂暴眩晕不一样的貂蝉,王者荣耀,花奉孝家的錒鶭,1
大家好，一败涂地,逆水寒,狮子,0
圣光忽悠着你,魔兽世界,yd380005782,0
NESO2016主舞台直播,星际争霸,neotv004,0
德哥贝爷的继承者,Dayz,虐魔的乔哥,0
承包山头的迷路日常,主机其他游戏,莉莉丝乀,0
250819的直播间,企鹅直播,douyuWWE画质第一AW,0
独自等待一,lol云顶之弈,麦克斯解说,0
风云岛行动，冲鸭,新游中心,暴走X大虾,0
一只什么游戏都玩的小tk,DOTA2,skyq1019,0
直播【世界杯巡礼】塞内加尔,企鹅直播,瓦里克斯,0
游戏快乐生活,王者荣耀,tenmiles2,0
	464642的直播间,企鹅直播,Coco妹子,0
魔兽世界怀旧服472801,绝地求生,vitasbo,0
企鹅黎明：综合格斗Bellator186,企鹅直播,主播阿良,0
15年快船战马刺（最经典的季后赛第一轮）,企鹅直播,上班就犯困,0
《果冻说球》意甲：维罗纳vs佛罗伦萨,企鹅直播,果冻哼哼,0
极限冲锋选手,和平精英,Mr夜醉hanergy,0
萌新上上分507049,逆水寒,暮秋微凉,0
正直播！曼城vs水晶宫赛前现场直播！,企鹅直播,国米德隆,0
中国U20vs肖特美因兹,企鹅直播,凌翼帝祎,0
紫百合巴乔,企鹅直播,紫百合巴乔,0
斗鱼第一法师等你来战。。,英雄联盟,伊人分饰两角,0
嘿嘿嘿嘿嘿580213,企鹅直播,Feiran谌,0
WBO亚洲职业拳击冠军赛,企鹅直播,nole樾,0
【木兰战纪】女子格斗学院,企鹅直播,Warman17,0
企鹅象棋无敌手,企鹅直播,拼命的折腾,0
直播马刺VS快船,企鹅直播,向上派,0
乱乱陪你看NBA,企鹅直播,花开有时夜无期,0
火箭重新升空,企鹅直播,老李睡的早,0
PhilIvey名人邀请赛,企鹅直播,邬凯,0
Super丶羊羊羊土伦杯中国vs巴林,企鹅直播,Super丶羊,0
友谊赛英格兰VS西班牙,企鹅直播,mkgyg731,0
教练联众比赛直播,企鹅直播,15972197681,0
克罗米-LM小SS,魔兽怀旧服,wangweinan32,0
2017国际排联沙滩排球世界巡回赛,企鹅直播,鹏鹏爱黑吧,0
【直播】中国U19vs阿哈萨克斯坦U19,企鹅直播,ccccc郝白,0
【直播】综合格斗Bellator181,企鹅直播,VGenter,0
直播：中八大师赛临沂站决赛,企鹅直播,婷婷147,0
爽儿mica的直播间,企鹅直播,爽儿mica,0
直播NBA季后赛鹈鹕VS勇士,企鹅直播,企鹅跳转专用1,0
直播:普约尔做客腾讯演播室,企鹅直播,企鹅跳转专用3,0
名校赛清华大学VS德国图宾根大学,企鹅直播,企鹅跳转专用4,0
突然就变冷了！还是得练呀！,企鹅直播,企鹅跳转专用5,0
WBO世界拳王资格挑战争霸赛,企鹅直播,企鹅跳转专用6,0
11.20打开扇背,企鹅直播,企鹅跳转专用7,0
沙尔克04中国行赛前新闻发布会,企鹅直播,企鹅跳转专用8,0
安徽省大学生排球联赛,企鹅直播,企鹅跳转专用9,0
传奇赛中国传奇vs世界传奇,企鹅直播,企鹅跳转专用10,0
凯乐石青少年攀岩,企鹅直播,企鹅跳转专用11,0
【北控女足】探秘诺坎普,企鹅直播,企鹅跳转专用12,0
2018巴西利亚世界青少年武术锦标赛,企鹅直播,企鹅跳转专用13,0
【世界杯】大神分析推荐,企鹅直播,企鹅跳转专用14,0
NFL复盘海鹰VS红雀,企鹅直播,企鹅跳转专用15,0
专访:世界足球先生里瓦尔多,企鹅直播,企鹅跳转专用16,0
2017全国广场舞大赛总决赛,企鹅直播,企鹅跳转专用17,0
NFL超级碗老鹰VS爱国者,企鹅直播,企鹅跳转专用18,0
世界杯：万元实单专家推荐,企鹅直播,企鹅跳转专用19,0
沙尔克04朝阳大悦城见面会,企鹅直播,企鹅跳转专用20,0
2018温布尔登网球锦标赛,企鹅直播,企鹅跳转专用22,0
782559的直播间,企鹅直播,企鹅跳转专用23,0
复盘意大利vs瑞典,企鹅直播,企鹅跳转专用24,0
贫穷使我面目全非,企鹅直播,企鹅跳转专用25,0
NFL直播爱国者vs闪电,企鹅直播,企鹅跳转专用29,0
NHL棕熊VS鲨鱼,企鹅直播,企鹅跳转专用30,0
玩玩cfm。学学别人的技术,CF手游,紫0菜,0
偷偷整点活儿,英雄联盟,有一点点帅的老尹,0
【猫三】今日比赛复盘,企鹅直播,Karma,0
最强辅助孙膑，没有之一,王者荣耀,1815610784,0
Rugby四国赛,企鹅直播,小黑妞呀,0
魔兽怀旧五区范沃森联盟,魔兽怀旧服,风动舞相随V,0
V钢铁侠V的直播间,火影忍者,V钢铁侠V,0
QQ飞车48人淘汰赛,王者荣耀,新丿Kica丶星,0
丿催眠的直播间,王者荣耀,丿催眠,0
【复盘】曼城vs埃弗顿,企鹅直播,kaka兔子,0
阿俊真的很菜,QQ飞车,Wildchild丶俊,0
小小突击手,和平精英,喵小楷丶,0
白银皇帝无限英雄池,英雄联盟,爱你TWS,0
【紫钻】上来看看,刺客信条,叉二王,0
老歌味儿浓,王者荣耀,达gvsh,0
主玩中下目前正在打白银！,英雄联盟,夜丶太美美,0
仰望星空直播间,和平精英,相见陌路匕,0
湛江200km骑行活动,企鹅直播,段王爷,0
【小六侃球】实况足球,企鹅直播,韩妹妹,0
普雷搬砖开始,DNF,sKY天SKy,0
FlyIn的直播间,王者荣耀,鱼胖子3麻麻,0
云玩家的的周末,炉石传说,HN白夕,0
【选技生存争霸赛】魔兽玩家来娱乐一下！,DOTA2,王美屡,0
草本木的直播间,绝地求生手机版,超本木,0
不信充值狗？看看海外评测怎么说…,汽车,摩尔的庄园,0
一个游戏玩家,CF手游,栀子花开灬开不落,0
helloivan的直播间,英雄联盟,helloivan,0
哎，匹配机制太坑了。,王者荣耀,黄鹤楼经典,0
三尺青峰走天下的直播间,在线教育,三尺青峰走天下,0
竞技娱乐开始,绝地求生,幻魂殇疯子,0
十六区新人主播,和平精英,绝口不提12,0
静静看，别说话，,王者荣耀,Lzhh郝明芳,0
独宠武则天，,王者荣耀,红云丶白兔仙,0
唐之夭夭灼其华的直播间,王者荣耀,唐之夭夭灼其华,0
insane丶疯子的直播间,英雄联盟,insane丶疯子,0
斗鱼TV黄老板,新游中心,皇羸,0
什么都会做的才浅大大,科普,才浅赛高,0
峡谷之巅白给之旅,lol云顶之弈,我叫文小哥,0
许久没回来的直播间,绝地求生手机版,红云丶风油精,0
黑镰鱼儿的直播间,王者荣耀,最后的200m,0
今天的你，吃鸡啦么,和平精英,红云丶旺杰先森,0
夏新的直播间3741471,王者荣耀,红云丶爱夜,0
棍宝是什么神仙男孩啊,lol云顶之弈,红云丶思相守,0
阿飞love的直播间,绝地求生手机版,红云丶阿飞love,0
一起上分的加好友,王者荣耀,性感滚滚在线带妹,0
梦幻灬牧场,梦幻西游,巛冷灬渊巛,0
狗溜主播，坐下坐下！,第5人格,小饼酱的暖手宝,0
神奇521的直播间,绝地求生手机版,驰央丶神奇521,0
老毕王者粉丝,王者荣耀,1要怎样啊,0
细节操作冲国服,王者荣耀,少侠桃花诺,0
阿聪的旅行,绝地求生,大蒜聪,0
一个休闲的泰亚史诗,泰亚史诗,生活19XX,0
渡渡边的直播间,CF手游,渡渡边,0
小丫么小火柴的直播间,手游推广,小丫么小火柴,0
1暮雨y的直播间,热门手游,1暮雨y,0
梦想的小圈圈的直播间,绝地求生手机版,梦想的小圈圈,0
王牌战士内测~,热门手游,最美的不过你啊,0
KOL.咦南荒北凉的直播间,绝地求生手机版,咦南荒北凉,0
KOL-科联-战场1,王者荣耀,毛不易的蜜粉,0
爱心发射biu的直播间,新笑傲江湖,爱心发射biu,0
lz都不想鸟你的直播间,绝地求生手机版,lz都不想鸟你,0
科联-战场彬彬胖带你飞,绝地求生手机版,彬彬胖b,0
农药克星的直播间,新笑傲江湖,农药克星,0
今天是软妹子❤,王者荣耀,酷爱521啊,0
来一戈的直播间,绝地求生手机版,来一戈,0
倔强九九合一,王者荣耀,倔强九九合一,0
好久没玩了还24连胜,王者荣耀,男人灬泪丶,0
我妍我妍c的直播间,王者荣耀,我妍我妍c,0
炸泥呀的直播间,终结者2审判日,炸泥呀,0
带你听相声,绝地求生,一方哥吖,0
丶leon丶1的直播间,手游推广,丶leon丶1,0
科联――全军出击,绝地求生手机版,是Fox呀,0
闵Suga天才赞赞man蹦蹦的直播间,热门手游,闵Suga天才赞赞man蹦蹦,0
阿一啊啊的直播间,新笑傲江湖,阿一啊啊,0
小小玩吃鸡的直播间,绝地求生手机版,小小玩吃鸡,0
这个女娃娃很厉害,绝地求生手机版,小啊凉丶,0
可爱的茱茱茱丶带你飞哟,新笑傲江湖,茱茱茱丶,0
4291359-小主播,绝地求生手机版,花期雨景,0
科联-全民出击,石器时代,可爱喵c,0
丶静丶默丶的直播间,王者荣耀,丶静丶默丶,0
来我的直播间？那你就是我的人了。,王者荣耀,你的女汉子阿兔,0
信仰sss的直播间,完美世界手游,信仰sss,0
驰央破刃的直播间,热门手游,驰央破刃,0
青铜吊打王者不解释,手游推广,驰央久伴,0
陈chamm的直播间,一梦江湖,陈chamm,0
OB型粉丝的直播间,英雄联盟,OB型粉丝,0
驰央邦邦的直播间,特色手游,驰央邦邦,0
斗鱼空空的直播间,绝地求生手机版,571900052,0
wangjmaijun的直播间,绝地求生手机版,wangjmaijun,0
熬夜练个图,QQ飞车,神行巴拉森,0
又去厄运搬砖，好无聊,魔兽怀旧服,痴情磊磊,0
进来玩神奇宝贝服务器!最好玩的哦!,热门网游,渝万丶若久,0
一个喜欢看假面骑士的混子打野,英雄联盟,卖小鱼干的老猫,0
新手直播，尝试下棋,DOTA2,臂展八米八,0
一顿乱锤之王,怪物猎人,热心网友LL,0
0迷糊的萌正太0的直播间,三国杀,0迷糊的萌正太0,0
无聊啊啊啊啊啊啊啊4765260,劲舞团,够轰me,0
【fifa足球世界】shiyun,FIFA足球世界,shiyunltong,0
程明程明啊,在线教育,程明爱吃小笼包,0
玩转139道王,绝地求生,无匹了根蒂,0
【Dy木木】千年安琪拉,王者荣耀,DY双木林,0
【仙灵西游】第一物伤,手游推广,斗斗斗200061,0
英雄联盟快乐单排,CF手游,阡陌殘风,0
club4ZGzL2dR的直播间,绝地求生手机版,最迷人的危险p,0
【fifa足球世界】,FIFA足球世界,用户6542042981,0
【fifa足球世界】capiet,FIFA足球世界,capietalistic,0
一天一个小朋友,和平精英,浪迹天涯醉红尘,0
星际1、2剧情,星际争霸,草帽叔,0
漫步于红尘的直播间,王者荣耀,漫步于红尘,0
现在不排队5160890,部落冲突,不落的星空,0
几天适合开车个,绝地求生手机版,斗朱泳旗,0
官方答复的呀,球球大作战,秋斥天的树叶,0
得好好计划,球球大作战,stuccowqork,0
大饭店火锅,球球大作战,hanvshuliang,0
只会哪吒刘邦。,王者荣耀,缇奇,0
日搬64角色1.1E,DNF,疯狂平民,0
奥拉星手游5413887,新游中心,刺杀虚情,0
台风&quot;&quot;山竹&quot;&quot;即将登录珠海,王者荣耀,豪情45958,0
休闲到满级,魔兽世界,蓝雪雨轩,0
梦想能收到一架大飞机,穿越火线,白鲨十一,0
王者段位，好久没播了,王者荣耀,ve残萧,0
仁义不施而攻守之势易也,蔚蓝,Acidamy,0
东风吹破少年梦5770563,英雄联盟,觀佳3,0
娱乐的小主播5795505,王者荣耀,放下的泪水,0
国服野王，关注免费带粉，➕微,王者荣耀,刘大哥也能骚,0
你喜欢哪种娱乐模式,劲舞团,用户99899056,0
H太帅的直播间,王者荣耀,酱酱家的黄姐,0
没想到吧我又回来了6024940,英雄联盟,Gaoojinggqii,0
没见过大哥！,穿越火线,白鲨boss炸了,0
逃离塔克夫搞起来！,lol云顶之弈,口水怪123,0
今天不吃3鸡不睡觉,自走棋,隔壁筱杨,0
上分有车位,和平精英,Feiyu醉染,0
总有贱人想害朕i834的直播间,王者荣耀,总有贱人想害朕i834,0
A曲北鼻的直播间,王者荣耀,中奖就改名99999套猴王,0
小母狼来袭,狼人杀,JSA丶刘学霸,0
Zpeerless逗比快乐的塔科夫不归路,逃离塔科夫,栈桥美景海滨客栈,0
上个车神。。,QQ飞车,告别过去1254673,0
河口刷配件,飙酷车神,大血臭嗨,0
三级必单杀,王者荣耀,back灬二少,0
富强和谐社会,率土之滨,薄荷呀啊,0
日常划水向,DNF,吃不到咸鱼de猫,0
大磊子，9点免费带人升级，卢克走起,DNF,DNF大磊子,0
各位，好久不见。我回来了。,军事游戏,无言以对5642,0
暮辰琰的直播间,地球末日生存,暮辰琰,0
暗黑百科，培养新人，秘境组队,暗黑破坏神3,黑羽流浪的黑羽,0
英雄联盟欢乐局6722822,英雄联盟,榴莲忘返丶K,0
下饭时光开始啦,英雄联盟,acer爱搞基,0
11bfx的直播间,王者荣耀,11bfx,0
打一手英雄冒险6767688,炉石传说,劉泡泡丶队长,0
绝地求生冲鸭,绝地求生,supreme46415,0
冯秋月是风秋月的直播间,绝地求生,冯秋月是风秋月,0
主播不会玩7034051,和平精英,741文哥,0
苏州迪丽热巴的直播间,英雄联盟,苏州迪丽热巴,0
菜鸡来试试水,DOTA2,唐三水,0
快乐足球&amp;amp;篮球,灌篮高手正版授权手游,妖魔和鬼怪,0
梦幻西游2019品牌发布会,梦幻西游手游,梦幻西游品牌,0
零月315的直播间,王者荣耀,零月315,0
宝石哥《野狼Disco》助阵，看大话同乐,热门手游,大话西游手游频道,0
娱乐娱乐lll,DOTA2,孤寡少,0
热血街篮内测中12号公测,热血街篮,郭郭爱吃水果,0
小白菜-我真的只是菜,CF手游,青衣小白菜,0
是格格呀~,王者荣耀,小格格yaaa,0
第六期GWB腾讯游戏品鉴会极光计划专场,新游中心,极光计划君,0
✔我就是才菜,CF手游,幽默感是一柄犀利的剑,0
只狼自动防御不管你信不信,只狼,永恒9920013258,0
jeko照的直播间,王者荣耀,jeko照,0
来自马航的我的直播间,森林,来自马航的我,0
青铜中的不败王者,时空召唤,疑似百天,0
不会玩游戏的招手停的直播间,新笑傲江湖,不会玩游戏的招手停,0
吉里于孜第一混子,天天酷跑,再zzzzzzx,0
免费上车---马枪怪--（还有车位）,CS:GO,墨先生hhh,0
HeyGuys!!!x),和平精英,TNG朵儿,0
班德尔城上分在线等一个办卡上车。,英雄联盟,YL卡洛,0
往后余生只为有缘人,英雄联盟,Ztx泰旭,0
武汉加油，，中国加油。,王者荣耀,深海少年与鲸893,0
菜鸟互啄开始,英雄联盟,1002408613,0
小号冲王者7766192,王者荣耀,Xy丶強,0
海豹炉石最菜,炉石传说,椰子大树,0
小势力蔡瑁的春天,全面战争,路人丙与甲,0
单机塔可夫摸地图7822367,逃离塔科夫,涛声依旧在丶,0
【求关注】只要能上分狗也可以当,CS:GO,今天有红烧肉嘛,0
我要roll武器和上衣,lol云顶之弈,MinatoYukina,0
喵喵喵喵QWQ,炉石传说,白给盒子喵喵,0
无情跑刀仔7850330,逃离塔科夫,黎木丶,0
L1670963的直播间,王者荣耀,L1670963,0
萌新憨憨屠,第5人格,染流年丷,0
主板终于修好了,魔兽怀旧服,eblis1,0
最强王者之路(英语）,英雄联盟,老奥弟弟,0
HASHAKEI的直播间,绝地求生,HASHAKEI,0
牵着鱼的猫咪的直播间,和平精英,牵着鱼的猫咪,0
直播掉分ＩＮＧ,lol云顶之弈,李囧囧阳,0
改柯易叶435的直播间,绝地求生,改柯易叶435,0
18岁天才枪神,穿越火线,忠实憨厚的大铭,0
青铜的欢乐日常8296721,英雄联盟,八分热度990,0
不吃方方面的直播间,军事游戏,不吃方方面,0
用户27691673的直播间,英雄联盟,用户27691673,0
传说对决：欧服瞎玩，干就完了,热门手游,暗黑之影千,0
日常天梯海岛任务！！！,航海王：燃烧意志,爱玩肉的平之,0
王者荣耀低端局8322026,英雄联盟,欣音质,0
维克兹756的直播间,王者荣耀,维克兹756,0
寒江野鱼的直播间,王者荣耀,寒江野鱼,0
我应谁的劫的直播间,王者荣耀,我应谁的劫,0
